"CASE","PERSONID","B_MINOR","B_ADULT","B_NATIVE","B_FOREIGN","NHOODBUR","NHOODRES","XRESID","YRESID"
878,290,0,1,0,1,5183398,5183819,82303.2969,453791.1563
324,113,0,1,0,1,5182561,5183819,82303.2969,453791.1563
292,187,0,1,0,1,5182718,5183822,81614.7031,453335.5
203,13,0,1,1,0,5183721,5183823,81270.3984,452117.3438
515,138,0,1,0,1,5183823,5183823,81270.3984,452117.3438
1122,13,0,1,1,0,5183721,5183823,81270.3984,452117.3438
606,124,0,1,1,0,5183823,5183823,81270.3984,452117.3438
91,124,0,1,1,0,5183823,5183823,81270.3984,452117.3438
293,13,0,1,1,0,5182718,5183823,81270.3984,452117.3438
834,13,0,1,1,0,5183638,5183823,81270.3984,452117.3438
677,181,0,1,0,1,5183387,5183823,81270.3984,452117.3438
553,71,0,1,1,0,5183489,5183823,81270.3984,452117.3438
303,15,0,1,1,0,5182449,5183823,81270.3984,452117.3438
204,13,0,1,1,0,5182915,5183823,81270.3984,452117.3438
835,13,0,1,1,0,5183638,5183823,81270.3984,452117.3438
830,135,0,1,1,0,5183135,5183823,81270.3984,452117.3438
676,181,0,1,0,1,5183387,5183823,81270.3984,452117.3438
507,264,0,1,1,0,5183823,5183823,81270.3984,452117.3438
514,124,0,1,1,0,5183824,5183823,81270.3984,452117.3438
643,124,0,1,1,0,5183824,5183823,81270.3984,452117.3438
647,13,0,1,1,0,5183638,5183823,81270.3984,452117.3438
829,135,0,1,1,0,5183480,5183823,81270.3984,452117.3438
505,120,0,1,1,0,5183823,5183823,81270.3984,452117.3438
841,138,0,1,0,1,5182811,5183823,81270.3984,452117.3438
487,124,0,1,1,0,5183824,5183823,81270.3984,452117.3438
776,124,0,1,1,0,5183284,5183823,81270.3984,452117.3438
857,138,0,1,0,1,5183488,5183823,81270.3984,452117.3438
1113,68,0,1,1,0,5183637,5183824,81650.7969,452478.25
873,198,0,1,0,1,5181492,5183824,81650.7969,452478.25
518,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
610,201,0,1,0,1,5183824,5183824,81650.7969,452478.25
1115,164,0,1,1,0,5183637,5183824,81650.7969,452478.25
495,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
509,54,0,1,1,0,5183825,5183824,81650.7969,452478.25
502,201,0,1,0,1,5183825,5183824,81650.7969,452478.25
390,215,0,1,0,1,5180703,5183824,81650.7969,452478.25
257,173,0,1,1,0,5182917,5183824,81650.7969,452478.25
950,219,0,1,0,1,5182055,5183824,81650.7969,452478.25
504,201,0,1,0,1,5183825,5183824,81650.7969,452478.25
942,121,0,1,1,0,5182055,5183824,81650.7969,452478.25
473,17,0,1,1,0,5181309,5183824,81650.7969,452478.25
510,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
493,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
506,201,0,1,0,1,5183825,5183824,81650.7969,452478.25
494,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
498,68,0,1,1,0,5183824,5183824,81650.7969,452478.25
391,215,0,1,0,1,5180703,5183824,81650.7969,452478.25
826,201,0,1,0,1,5183620,5183824,81650.7969,452478.25
836,281,0,1,1,0,5183135,5183824,81650.7969,452478.25
67,232,0,1,1,0,5182812,5183824,81650.7969,452478.25
870,198,0,1,0,1,5181492,5183824,81650.7969,452478.25
638,177,0,1,0,1,5183823,5183824,81650.7969,452478.25
631,170,0,1,1,0,5183825,5183824,81650.7969,452478.25
136,223,0,1,0,1,5183034,5183824,81650.7969,452478.25
605,201,0,1,0,1,5183823,5183824,81650.7969,452478.25
611,201,0,1,0,1,5183824,5183824,81650.7969,452478.25
503,201,0,1,0,1,5183825,5183824,81650.7969,452478.25
500,201,0,1,0,1,5183825,5183824,81650.7969,452478.25
949,219,0,1,0,1,5183034,5183824,81650.7969,452478.25
501,201,0,1,0,1,5183824,5183824,81650.7969,452478.25
64,39,0,1,0,1,5182665,5183825,82303.0469,453033.5938
886,39,0,1,0,1,5181806,5183825,82303.0469,453033.5938
675,39,0,1,0,1,5183639,5183825,82303.0469,453033.5938
768,39,0,1,0,1,5183638,5183825,82303.0469,453033.5938
217,39,0,1,0,1,5182718,5183825,82303.0469,453033.5938
774,39,0,1,0,1,5181795,5183825,82303.0469,453033.5938
218,195,1,0,1,0,5182813,5183825,82303.0469,453033.5938
799,159,0,1,0,1,5183639,5183825,82303.0469,453033.5938
888,39,0,1,0,1,5181806,5183825,82303.0469,453033.5938
811,143,0,1,1,0,5183638,5183825,82303.0469,453033.5938
781,39,0,1,0,1,5183489,5183825,82303.0469,453033.5938
885,39,0,1,0,1,5181840,5183825,82303.0469,453033.5938
476,39,0,1,0,1,5182054,5183825,82303.0469,453033.5938
953,244,0,1,0,1,5182054,5183825,82303.0469,453033.5938
914,168,0,1,1,0,5182055,5183825,82303.0469,453033.5938
887,39,0,1,0,1,5181806,5183825,82303.0469,453033.5938
555,199,1,0,1,0,5182763,5183826,82782.2031,453355.3125
556,199,1,0,1,0,5183826,5183826,82782.2031,453355.3125
624,199,1,0,1,0,5183825,5183826,82782.2031,453355.3125
490,24,0,1,1,0,5183826,5183826,82782.2031,453355.3125
833,270,0,1,0,1,5182812,5183826,82782.2031,453355.3125
562,199,1,0,1,0,5183825,5183826,82782.2031,453355.3125
80,165,0,1,0,1,5182813,5183826,82782.2031,453355.3125
1111,255,1,0,1,0,5182763,5183826,82782.2031,453355.3125
628,112,0,1,0,1,5183826,5183826,82782.2031,453355.3125
561,199,1,0,1,0,5183825,5183826,82782.2031,453355.3125
491,24,0,1,1,0,5183826,5183826,82782.2031,453355.3125
603,19,0,1,0,1,5183822,5183826,82782.2031,453355.3125
648,186,0,1,1,0,5183822,5183826,82782.2031,453355.3125
